PW03 baro,,,,,,,,
Date,Time,DateTime,Level,Temperature,,,,
2/29/2008,19:53:58,2008-02-29 19:53:58,2.8644,7.553,,,,
2/29/2008,20:53:58,2008-02-29 20:53:58,2.86904,7.544,,,,
2/29/2008,21:53:58,2008-02-29 21:53:58,2.87308,7.536,,,,
2/29/2008,22:53:58,2008-02-29 22:53:58,2.87505,7.547,,,,
2/29/2008,23:53:58,2008-02-29 23:53:58,2.86815,7.541,,,,
3/1/2008,0:53:58,2008-03-01 00:53:58,2.85012,7.538,,,,
3/1/2008,1:53:58,2008-03-01 01:53:58,2.82032,7.549,,,,
3/1/2008,2:53:58,2008-03-01 02:53:58,2.79602,7.549,,,,
3/1/2008,3:53:58,2008-03-01 03:53:58,2.77511,7.553,,,,
3/1/2008,4:53:58,2008-03-01 04:53:58,2.74535,7.544,,,,
3/1/2008,5:53:58,2008-03-01 05:53:58,2.70403,7.544,,,,
3/1/2008,6:53:58,2008-03-01 06:53:58,2.71077,7.556,,,,
3/1/2008,7:53:58,2008-03-01 07:53:58,2.68488,7.551,,,,
3/1/2008,8:53:58,2008-03-01 08:53:58,2.65146,7.546,,,,
3/1/2008,9:53:58,2008-03-01 09:53:58,2.61331,7.536,,,,
3/1/2008,10:53:58,2008-03-01 10:53:58,2.5946,7.547,,,,
3/1/2008,11:53:58,2008-03-01 11:53:58,2.58047,7.561,,,,
3/1/2008,12:53:58,2008-03-01 12:53:58,2.55513,7.555,,,,
3/1/2008,13:53:58,2008-03-01 13:53:58,2.54406,7.534,,,,
3/1/2008,14:53:58,2008-03-01 14:53:58,2.53917,7.55,,,,
3/1/2008,15:53:58,2008-03-01 15:53:58,2.53655,7.558,,,,
3/1/2008,16:53:58,2008-03-01 16:53:58,2.57039,7.55,,,,
3/1/2008,17:53:58,2008-03-01 17:53:58,2.63193,7.557,,,,
3/1/2008,18:53:58,2008-03-01 18:53:58,2.67278,7.559,,,,
3/1/2008,19:53:58,2008-03-01 19:53:58,2.75524,7.561,,,,
3/1/2008,20:53:58,2008-03-01 20:53:58,2.77247,7.566,,,,
3/1/2008,21:53:58,2008-03-01 21:53:58,2.80047,7.568,,,,
3/1/2008,22:53:58,2008-03-01 22:53:58,2.82585,7.561,,,,
3/1/2008,23:53:58,2008-03-01 23:53:58,2.83449,7.564,,,,
3/2/2008,0:53:58,2008-03-02 00:53:58,2.83224,7.57,,,,
3/2/2008,1:53:58,2008-03-02 01:53:58,2.84464,7.588,,,,
3/2/2008,2:53:58,2008-03-02 02:53:58,2.84846,7.568,,,,
3/2/2008,3:53:58,2008-03-02 03:53:58,2.8486,7.58,,,,
3/2/2008,4:53:58,2008-03-02 04:53:58,2.86126,7.581,,,,
3/2/2008,5:53:58,2008-03-02 05:53:58,2.87127,7.567,,,,
3/2/2008,6:53:58,2008-03-02 06:53:58,2.90106,7.571,,,,
3/2/2008,7:53:58,2008-03-02 07:53:58,2.93923,7.568,,,,
3/2/2008,8:53:58,2008-03-02 08:53:58,2.958,7.589,,,,
3/2/2008,9:53:58,2008-03-02 09:53:58,2.96753,7.576,,,,
3/2/2008,10:53:58,2008-03-02 10:53:58,2.99217,7.572,,,,
3/2/2008,11:53:58,2008-03-02 11:53:58,2.99307,7.573,,,,
3/2/2008,12:53:58,2008-03-02 12:53:58,2.98499,7.582,,,,
3/2/2008,13:53:58,2008-03-02 13:53:58,2.96701,7.578,,,,
3/2/2008,14:53:58,2008-03-02 14:53:58,2.9574,7.59,,,,
3/2/2008,15:53:58,2008-03-02 15:53:58,2.95975,7.585,,,,
3/2/2008,16:53:58,2008-03-02 16:53:58,2.97126,7.601,,,,
3/2/2008,17:53:58,2008-03-02 17:53:58,2.99101,7.588,,,,
3/2/2008,18:53:58,2008-03-02 18:53:58,3.02043,7.591,,,,
3/2/2008,19:53:58,2008-03-02 19:53:58,3.02902,7.585,,,,
3/2/2008,20:53:58,2008-03-02 20:53:58,3.05746,7.603,,,,
3/2/2008,21:53:58,2008-03-02 21:53:58,3.08513,7.595,,,,
3/2/2008,22:53:58,2008-03-02 22:53:58,3.11782,7.6,,,,
3/2/2008,23:53:58,2008-03-02 23:53:58,3.12756,7.605,,,,
3/3/2008,0:53:58,2008-03-03 00:53:58,3.14816,7.594,,,,
3/3/2008,1:53:58,2008-03-03 01:53:58,3.15133,7.591,,,,
3/3/2008,2:53:58,2008-03-03 02:53:58,3.1517,7.603,,,,
3/3/2008,3:53:58,2008-03-03 03:53:58,3.15063,7.596,,,,
3/3/2008,4:53:58,2008-03-03 04:53:58,3.14865,7.612,,,,
3/3/2008,5:53:58,2008-03-03 05:53:58,3.14605,7.601,,,,
3/3/2008,6:53:58,2008-03-03 06:53:58,3.14639,7.602,,,,
3/3/2008,7:53:58,2008-03-03 07:53:58,3.15369,7.611,,,,
3/3/2008,8:53:58,2008-03-03 08:53:58,3.13825,7.601,,,,
3/3/2008,9:53:58,2008-03-03 09:53:58,3.13079,7.619,,,,
3/3/2008,10:53:58,2008-03-03 10:53:58,3.11686,7.618,,,,
3/3/2008,11:53:58,2008-03-03 11:53:58,3.10406,7.606,,,,
3/3/2008,12:53:58,2008-03-03 12:53:58,3.06691,7.626,,,,
3/3/2008,13:53:58,2008-03-03 13:53:58,3.02153,7.624,,,,
3/3/2008,14:53:58,2008-03-03 14:53:58,2.98779,7.609,,,,
3/3/2008,15:53:58,2008-03-03 15:53:58,2.9452,7.616,,,,
3/3/2008,16:53:58,2008-03-03 16:53:58,2.90117,7.624,,,,
3/3/2008,17:53:58,2008-03-03 17:53:58,2.87857,7.623,,,,
3/3/2008,18:53:58,2008-03-03 18:53:58,2.86863,7.622,,,,
3/3/2008,19:53:58,2008-03-03 19:53:58,2.8489,7.626,,,,
3/3/2008,20:53:58,2008-03-03 20:53:58,2.8274,7.636,,,,
3/3/2008,21:53:58,2008-03-03 21:53:58,2.8208,7.628,,,,
3/3/2008,22:53:58,2008-03-03 22:53:58,2.79632,7.622,,,,
3/3/2008,23:53:58,2008-03-03 23:53:58,2.77881,7.622,,,,
3/4/2008,0:53:58,2008-03-04 00:53:58,2.77098,7.633,,,,
3/4/2008,1:53:58,2008-03-04 01:53:58,2.77865,7.634,,,,
3/4/2008,2:53:58,2008-03-04 02:53:58,2.75632,7.631,,,,
3/4/2008,3:53:58,2008-03-04 03:53:58,2.73551,7.64,,,,
3/4/2008,4:53:58,2008-03-04 04:53:58,2.71443,7.629,,,,
3/4/2008,5:53:58,2008-03-04 05:53:58,2.72411,7.648,,,,
3/4/2008,6:53:58,2008-03-04 06:53:58,2.74215,7.646,,,,
3/4/2008,7:53:58,2008-03-04 07:53:58,2.74345,7.631,,,,
3/4/2008,8:53:58,2008-03-04 08:53:58,2.74965,7.649,,,,
3/4/2008,9:53:58,2008-03-04 09:53:58,2.75128,7.65,,,,
3/4/2008,10:53:58,2008-03-04 10:53:58,2.74247,7.656,,,,
3/4/2008,11:53:58,2008-03-04 11:53:58,2.71125,7.649,,,,
3/4/2008,12:53:58,2008-03-04 12:53:58,2.69261,7.652,,,,
3/4/2008,13:53:58,2008-03-04 13:53:58,2.66086,7.649,,,,
3/4/2008,14:53:58,2008-03-04 14:53:58,2.66721,7.659,,,,
3/4/2008,15:53:58,2008-03-04 15:53:58,2.68216,7.666,,,,
3/4/2008,16:53:58,2008-03-04 16:53:58,2.67813,7.664,,,,
3/4/2008,17:53:58,2008-03-04 17:53:58,2.72543,7.667,,,,
3/4/2008,18:53:58,2008-03-04 18:53:58,2.75672,7.669,,,,
3/4/2008,19:53:58,2008-03-04 19:53:58,2.77046,7.67,,,,
3/4/2008,20:53:58,2008-03-04 20:53:58,2.7951,7.673,,,,
3/4/2008,21:53:58,2008-03-04 21:53:58,2.81828,7.68,,,,
3/4/2008,22:53:58,2008-03-04 22:53:58,2.82339,7.681,,,,
3/4/2008,23:53:58,2008-03-04 23:53:58,2.81867,7.671,,,,
3/5/2008,0:53:58,2008-03-05 00:53:58,2.82863,7.666,,,,
3/5/2008,1:53:58,2008-03-05 01:53:58,2.82997,7.66,,,,
3/5/2008,2:53:58,2008-03-05 02:53:58,2.82097,7.674,,,,
3/5/2008,3:53:58,2008-03-05 03:53:58,2.82773,7.666,,,,
3/5/2008,4:53:58,2008-03-05 04:53:58,2.84464,7.672,,,,
3/5/2008,5:53:58,2008-03-05 05:53:58,2.86525,7.665,,,,
3/5/2008,6:53:58,2008-03-05 06:53:58,2.88443,7.674,,,,
3/5/2008,7:53:58,2008-03-05 07:53:58,2.90432,7.686,,,,
3/5/2008,8:53:58,2008-03-05 08:53:58,2.92598,7.692,,,,
3/5/2008,9:53:58,2008-03-05 09:53:58,2.93734,7.687,,,,
3/5/2008,10:53:58,2008-03-05 10:53:58,2.94156,7.69,,,,
3/5/2008,11:53:58,2008-03-05 11:53:58,2.9401,7.687,,,,
3/5/2008,12:53:58,2008-03-05 12:53:58,2.92831,7.692,,,,
3/5/2008,13:53:58,2008-03-05 13:53:58,2.90516,7.681,,,,
3/5/2008,14:53:58,2008-03-05 14:53:58,2.90418,7.697,,,,
3/5/2008,15:53:58,2008-03-05 15:53:58,2.89515,7.696,,,,
3/5/2008,16:53:58,2008-03-05 16:53:58,2.88817,7.7,,,,
3/5/2008,17:53:58,2008-03-05 17:53:58,2.89411,7.691,,,,
3/5/2008,18:53:58,2008-03-05 18:53:58,2.90726,7.705,,,,
3/5/2008,19:53:58,2008-03-05 19:53:58,2.92698,7.695,,,,
3/5/2008,20:53:58,2008-03-05 20:53:58,2.95412,7.701,,,,
3/5/2008,21:53:58,2008-03-05 21:53:58,2.96539,7.698,,,,
3/5/2008,22:53:58,2008-03-05 22:53:58,2.98217,7.709,,,,
3/5/2008,23:53:58,2008-03-05 23:53:58,2.98958,7.719,,,,
3/6/2008,0:53:58,2008-03-06 00:53:58,2.99226,7.704,,,,
3/6/2008,1:53:58,2008-03-06 01:53:58,2.99446,7.697,,,,
3/6/2008,2:53:58,2008-03-06 02:53:58,2.9996,7.708,,,,
3/6/2008,3:53:58,2008-03-06 03:53:58,2.99041,7.715,,,,
3/6/2008,4:53:58,2008-03-06 04:53:58,2.99895,7.712,,,,
3/6/2008,5:53:58,2008-03-06 05:53:58,3.00966,7.71,,,,
3/6/2008,6:53:58,2008-03-06 06:53:58,3.01093,7.716,,,,
3/6/2008,7:53:58,2008-03-06 07:53:58,3.03168,7.717,,,,
3/6/2008,8:53:58,2008-03-06 08:53:58,3.05026,7.718,,,,
3/6/2008,9:53:58,2008-03-06 09:53:58,3.05185,7.725,,,,
3/6/2008,10:53:58,2008-03-06 10:53:58,3.0542,7.716,,,,
3/6/2008,11:53:58,2008-03-06 11:53:58,3.04669,7.717,,,,
3/6/2008,12:53:58,2008-03-06 12:53:58,3.03662,7.716,,,,
3/6/2008,13:53:58,2008-03-06 13:53:58,3.01287,7.718,,,,
3/6/2008,14:53:58,2008-03-06 14:53:58,3.00711,7.721,,,,
3/6/2008,15:53:58,2008-03-06 15:53:58,2.99409,7.73,,,,
3/6/2008,16:53:58,2008-03-06 16:53:58,2.98195,7.73,,,,
3/6/2008,17:53:58,2008-03-06 17:53:58,2.98698,7.727,,,,
3/6/2008,18:53:58,2008-03-06 18:53:58,3.00463,7.734,,,,
3/6/2008,19:53:58,2008-03-06 19:53:58,3.01999,7.737,,,,
3/6/2008,20:53:58,2008-03-06 20:53:58,3.0361,7.737,,,,
3/6/2008,21:53:58,2008-03-06 21:53:58,3.06679,7.737,,,,
3/6/2008,22:53:58,2008-03-06 22:53:58,3.07941,7.74,,,,
3/6/2008,23:53:58,2008-03-06 23:53:58,3.08127,7.738,,,,
3/7/2008,0:53:58,2008-03-07 00:53:58,3.09137,7.733,,,,
3/7/2008,1:53:58,2008-03-07 01:53:58,3.09757,7.732,,,,
3/7/2008,2:53:58,2008-03-07 02:53:58,3.08755,7.746,,,,
3/7/2008,3:53:58,2008-03-07 03:53:58,3.09183,7.741,,,,
3/7/2008,4:53:58,2008-03-07 04:53:58,3.0849,7.741,,,,
3/7/2008,5:53:58,2008-03-07 05:53:58,3.08477,7.749,,,,
3/7/2008,6:53:58,2008-03-07 06:53:58,3.09468,7.728,,,,
3/7/2008,7:53:58,2008-03-07 07:53:58,3.10496,7.737,,,,
3/7/2008,8:53:58,2008-03-07 08:53:58,3.1117,7.739,,,,
3/7/2008,9:53:58,2008-03-07 09:53:58,3.10334,7.738,,,,
3/7/2008,10:53:58,2008-03-07 10:53:58,3.08984,7.743,,,,
3/7/2008,11:53:58,2008-03-07 11:53:58,3.07576,7.744,,,,
3/7/2008,12:53:58,2008-03-07 12:53:58,3.02781,7.742,,,,
3/7/2008,13:53:58,2008-03-07 13:53:58,2.9921,7.747,,,,
3/7/2008,14:53:58,2008-03-07 14:53:58,2.9725,7.745,,,,
3/7/2008,15:53:58,2008-03-07 15:53:58,2.94022,7.742,,,,
3/7/2008,16:53:58,2008-03-07 16:53:58,2.89989,7.739,,,,
3/7/2008,17:53:58,2008-03-07 17:53:58,2.89057,7.75,,,,
3/7/2008,18:53:58,2008-03-07 18:53:58,2.8867,7.751,,,,
3/7/2008,19:53:58,2008-03-07 19:53:58,2.89686,7.744,,,,
3/7/2008,20:53:58,2008-03-07 20:53:58,2.88707,7.75,,,,
3/7/2008,21:53:58,2008-03-07 21:53:58,2.88628,7.748,,,,
3/7/2008,22:53:58,2008-03-07 22:53:58,2.87797,7.758,,,,
3/7/2008,23:53:58,2008-03-07 23:53:58,2.84779,7.756,,,,
3/8/2008,0:53:58,2008-03-08 00:53:58,2.84774,7.756,,,,
3/8/2008,1:53:58,2008-03-08 01:53:58,2.85056,7.766,,,,
3/8/2008,2:53:58,2008-03-08 02:53:58,2.83116,7.76,,,,
3/8/2008,3:53:58,2008-03-08 03:53:58,2.81692,7.764,,,,
3/8/2008,4:53:58,2008-03-08 04:53:58,2.80517,7.76,,,,
3/8/2008,5:53:58,2008-03-08 05:53:58,2.79208,7.771,,,,
3/8/2008,6:53:58,2008-03-08 06:53:58,2.78218,7.778,,,,
3/8/2008,7:53:58,2008-03-08 07:53:58,2.76807,7.768,,,,
3/8/2008,8:53:58,2008-03-08 08:53:58,2.76274,7.767,,,,
3/8/2008,9:53:58,2008-03-08 09:53:58,2.74182,7.77,,,,
3/8/2008,10:53:58,2008-03-08 10:53:58,2.75373,7.773,,,,
3/8/2008,11:53:58,2008-03-08 11:53:58,2.73166,7.775,,,,
3/8/2008,12:53:58,2008-03-08 12:53:58,2.7161,7.768,,,,
3/8/2008,13:53:58,2008-03-08 13:53:58,2.73694,7.782,,,,
3/8/2008,14:53:58,2008-03-08 14:53:58,2.75845,7.784,,,,
3/8/2008,15:53:58,2008-03-08 15:53:58,2.76793,7.783,,,,
3/8/2008,16:53:58,2008-03-08 16:53:58,2.76556,7.788,,,,
3/8/2008,17:53:58,2008-03-08 17:53:58,2.79996,7.772,,,,
3/8/2008,18:53:58,2008-03-08 18:53:58,2.80026,7.768,,,,
3/8/2008,19:53:58,2008-03-08 19:53:58,2.81875,7.774,,,,
3/8/2008,20:53:58,2008-03-08 20:53:58,2.83876,7.771,,,,
3/8/2008,21:53:58,2008-03-08 21:53:58,2.87113,7.774,,,,
3/8/2008,22:53:58,2008-03-08 22:53:58,2.87102,7.779,,,,
3/8/2008,23:53:58,2008-03-08 23:53:58,2.89094,7.78,,,,
3/9/2008,0:53:58,2008-03-09 00:53:58,2.90608,7.788,,,,
3/9/2008,1:53:58,2008-03-09 01:53:58,2.91585,7.791,,,,
3/9/2008,2:53:58,2008-03-09 02:53:58,2.92556,7.788,,,,
3/9/2008,3:53:58,2008-03-09 03:53:58,2.93003,7.786,,,,
3/9/2008,4:53:58,2008-03-09 04:53:58,2.94995,7.788,,,,
3/9/2008,5:53:58,2008-03-09 05:53:58,2.96384,7.79,,,,
3/9/2008,6:53:58,2008-03-09 06:53:58,2.98904,7.791,,,,
3/9/2008,7:53:58,2008-03-09 07:53:58,3.02951,7.786,,,,
3/9/2008,8:53:58,2008-03-09 08:53:58,3.02012,7.801,,,,
3/9/2008,9:53:58,2008-03-09 09:53:58,3.03333,7.795,,,,
3/9/2008,10:53:58,2008-03-09 10:53:58,3.03061,7.797,,,,
3/9/2008,11:53:58,2008-03-09 11:53:58,3.02897,7.799,,,,
3/9/2008,12:53:58,2008-03-09 12:53:58,3.01734,7.801,,,,
3/9/2008,13:53:58,2008-03-09 13:53:58,3.01019,7.817,,,,
3/9/2008,14:53:58,2008-03-09 14:53:58,2.9997,7.805,,,,
3/9/2008,15:53:58,2008-03-09 15:53:58,3.00157,7.804,,,,
3/9/2008,16:53:58,2008-03-09 16:53:58,3.0028,7.802,,,,
3/9/2008,17:53:58,2008-03-09 17:53:58,3.01403,7.811,,,,
3/9/2008,18:53:58,2008-03-09 18:53:58,3.01449,7.812,,,,
3/9/2008,19:53:58,2008-03-09 19:53:58,3.02578,7.82,,,,
3/9/2008,20:53:58,2008-03-09 20:53:58,3.02075,7.809,,,,
3/9/2008,21:53:58,2008-03-09 21:53:58,3.04308,7.816,,,,
3/9/2008,22:53:58,2008-03-09 22:53:58,3.05183,7.815,,,,
3/9/2008,23:53:58,2008-03-09 23:53:58,3.05968,7.818,,,,
3/10/2008,0:53:58,2008-03-10 00:53:58,3.06218,7.827,,,,
3/10/2008,1:53:58,2008-03-10 01:53:58,3.07392,7.83,,,,
3/10/2008,2:53:58,2008-03-10 02:53:58,3.06726,7.826,,,,
3/10/2008,3:53:58,2008-03-10 03:53:58,3.07161,7.819,,,,
3/10/2008,4:53:58,2008-03-10 04:53:58,3.07849,7.825,,,,
3/10/2008,5:53:58,2008-03-10 05:53:58,3.09551,7.823,,,,
3/10/2008,6:53:58,2008-03-10 06:53:58,3.10855,7.812,,,,
3/10/2008,7:53:58,2008-03-10 07:53:58,3.12882,7.83,,,,
3/10/2008,8:53:58,2008-03-10 08:53:58,3.13648,7.825,,,,
3/10/2008,9:53:58,2008-03-10 09:53:58,3.14051,7.816,,,,
3/10/2008,10:53:58,2008-03-10 10:53:58,3.1381,7.824,,,,
3/10/2008,11:53:58,2008-03-10 11:53:58,3.12351,7.821,,,,
3/10/2008,12:53:58,2008-03-10 12:53:58,3.10862,7.828,,,,
3/10/2008,13:53:58,2008-03-10 13:53:58,3.08183,7.844,,,,
3/10/2008,14:53:58,2008-03-10 14:53:58,3.06293,7.84,,,,
3/10/2008,15:53:58,2008-03-10 15:53:58,3.05079,7.829,,,,
3/10/2008,16:53:58,2008-03-10 16:53:58,3.0453,7.84,,,,
3/10/2008,17:53:58,2008-03-10 17:53:58,3.03935,7.823,,,,
3/10/2008,18:53:58,2008-03-10 18:53:58,3.03838,7.85,,,,
3/10/2008,19:53:58,2008-03-10 19:53:58,3.04479,7.84,,,,
3/10/2008,20:53:58,2008-03-10 20:53:58,3.05706,7.839,,,,
3/10/2008,21:53:58,2008-03-10 21:53:58,3.06536,7.845,,,,
3/10/2008,22:53:58,2008-03-10 22:53:58,3.07353,7.832,,,,
3/10/2008,23:53:58,2008-03-10 23:53:58,3.07393,7.837,,,,
3/11/2008,0:53:58,2008-03-11 00:53:58,3.07594,7.845,,,,
3/11/2008,1:53:58,2008-03-11 01:53:58,3.0726,7.853,,,,
3/11/2008,2:53:58,2008-03-11 02:53:58,3.05751,7.858,,,,
3/11/2008,3:53:58,2008-03-11 03:53:58,3.04643,7.855,,,,
3/11/2008,4:53:58,2008-03-11 04:53:58,3.03909,7.851,,,,
3/11/2008,5:53:58,2008-03-11 05:53:58,3.04282,7.84,,,,
3/11/2008,6:53:58,2008-03-11 06:53:58,3.04722,7.843,,,,
3/11/2008,7:53:58,2008-03-11 07:53:58,3.04991,7.833,,,,
3/11/2008,8:53:58,2008-03-11 08:53:58,3.05741,7.849,,,,
3/11/2008,9:53:58,2008-03-11 09:53:58,3.05912,7.854,,,,
3/11/2008,10:53:58,2008-03-11 10:53:58,3.03583,7.852,,,,
3/11/2008,11:53:58,2008-03-11 11:53:58,3.01663,7.852,,,,
3/11/2008,12:53:58,2008-03-11 12:53:58,2.98758,7.857,,,,
3/11/2008,13:53:58,2008-03-11 13:53:58,2.96056,7.854,,,,
3/11/2008,14:53:58,2008-03-11 14:53:58,2.93976,7.858,,,,
3/11/2008,15:53:58,2008-03-11 15:53:58,2.91203,7.868,,,,
3/11/2008,16:53:58,2008-03-11 16:53:58,2.89462,7.864,,,,
3/11/2008,17:53:58,2008-03-11 17:53:58,2.88276,7.869,,,,
3/11/2008,18:53:58,2008-03-11 18:53:58,2.88076,7.858,,,,
3/11/2008,19:53:58,2008-03-11 19:53:58,2.88521,7.86,,,,
3/11/2008,20:53:58,2008-03-11 20:53:58,2.88567,7.857,,,,
3/11/2008,21:53:58,2008-03-11 21:53:58,2.90775,7.851,,,,
3/11/2008,22:53:58,2008-03-11 22:53:58,2.90819,7.855,,,,
3/11/2008,23:53:58,2008-03-11 23:53:58,2.91481,7.871,,,,
3/12/2008,0:53:58,2008-03-12 00:53:58,2.91284,7.873,,,,
3/12/2008,1:53:58,2008-03-12 01:53:58,2.90916,7.86,,,,
3/12/2008,2:53:58,2008-03-12 02:53:58,2.88019,7.865,,,,
3/12/2008,3:53:58,2008-03-12 03:53:58,2.86455,7.87,,,,
3/12/2008,4:53:58,2008-03-12 04:53:58,2.87614,7.862,,,,
3/12/2008,5:53:58,2008-03-12 05:53:58,2.87595,7.87,,,,
3/12/2008,6:53:58,2008-03-12 06:53:58,2.87894,7.875,,,,
3/12/2008,7:53:58,2008-03-12 07:53:58,2.88016,7.875,,,,
3/12/2008,8:53:58,2008-03-12 08:53:58,2.88318,7.875,,,,
3/12/2008,9:53:58,2008-03-12 09:53:58,2.88445,7.88,,,,
3/12/2008,10:53:58,2008-03-12 10:53:58,2.89196,7.884,,,,
3/12/2008,11:53:58,2008-03-12 11:53:58,2.8825,7.881,,,,
3/12/2008,12:53:58,2008-03-12 12:53:58,2.84228,7.864,,,,
3/12/2008,13:53:58,2008-03-12 13:53:58,2.80593,7.876,,,,
3/12/2008,14:53:58,2008-03-12 14:53:58,2.76689,7.88,,,,
3/12/2008,15:53:58,2008-03-12 15:53:58,2.75936,7.873,,,,
3/12/2008,16:53:58,2008-03-12 16:53:58,2.77392,7.888,,,,
3/12/2008,17:53:58,2008-03-12 17:53:58,2.77009,7.882,,,,
3/12/2008,18:53:58,2008-03-12 18:53:58,2.78551,7.885,,,,
3/12/2008,19:53:58,2008-03-12 19:53:58,2.79253,7.87,,,,
3/12/2008,20:53:58,2008-03-12 20:53:58,2.78344,7.887,,,,
3/12/2008,21:53:58,2008-03-12 21:53:58,2.78703,7.893,,,,
3/12/2008,22:53:58,2008-03-12 22:53:58,2.76605,7.883,,,,
3/12/2008,23:53:58,2008-03-12 23:53:58,2.75121,7.88,,,,
3/13/2008,0:53:58,2008-03-13 00:53:58,2.73215,7.894,,,,
3/13/2008,1:53:58,2008-03-13 01:53:58,2.71158,7.894,,,,
3/13/2008,2:53:58,2008-03-13 02:53:58,2.67441,7.891,,,,
3/13/2008,3:53:58,2008-03-13 03:53:58,2.6423,7.894,,,,
3/13/2008,4:53:58,2008-03-13 04:53:58,2.61857,7.891,,,,
3/13/2008,5:53:58,2008-03-13 05:53:58,2.5971,7.889,,,,
3/13/2008,6:53:58,2008-03-13 06:53:58,2.58966,7.896,,,,
3/13/2008,7:53:58,2008-03-13 07:53:58,2.60319,7.886,,,,
3/13/2008,8:53:58,2008-03-13 08:53:58,2.60759,7.911,,,,
3/13/2008,9:53:58,2008-03-13 09:53:58,2.62429,7.905,,,,
3/13/2008,10:53:58,2008-03-13 10:53:58,2.61965,7.902,,,,
